"Step","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MIN","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MAX"
"6334","-0.044355086982250214","-0.044355086982250214","-0.044355086982250214"
"6357","-0.050115905702114105","-0.050115905702114105","-0.050115905702114105"
"6380","-0.041937775909900665","-0.041937775909900665","-0.041937775909900665"
"6403","-0.04460122808814049","-0.04460122808814049","-0.04460122808814049"
"6426","-0.04263892397284508","-0.04263892397284508","-0.04263892397284508"
"6449","-0.05267851799726486","-0.05267851799726486","-0.05267851799726486"
"6472","-0.05240999907255173","-0.05240999907255173","-0.05240999907255173"
"6495","-0.049016185104846954","-0.049016185104846954","-0.049016185104846954"
"6518","-0.04717201739549637","-0.04717201739549637","-0.04717201739549637"
"6542","-0.03531120344996452","-0.03531120344996452","-0.03531120344996452"
"6566","-0.035196706652641296","-0.035196706652641296","-0.035196706652641296"
"6590","-0.02322486788034439","-0.02322486788034439","-0.02322486788034439"
"6614","-0.021670017391443253","-0.021670017391443253","-0.021670017391443253"
"6638","-0.023023467510938644","-0.023023467510938644","-0.023023467510938644"
"6662","-0.023967085406184196","-0.023967085406184196","-0.023967085406184196"
"6686","-0.02244523912668228","-0.02244523912668228","-0.02244523912668228"
"6710","-0.021520277485251427","-0.021520277485251427","-0.021520277485251427"
"6734","-0.021379224956035614","-0.021379224956035614","-0.021379224956035614"
"6758","-0.01982242427766323","-0.01982242427766323","-0.01982242427766323"
"6782","-0.022414861246943474","-0.022414861246943474","-0.022414861246943474"
"6806","-0.0225620549172163","-0.0225620549172163","-0.0225620549172163"
"6830","-0.02423257566988468","-0.02423257566988468","-0.02423257566988468"
"6854","-0.02762213721871376","-0.02762213721871376","-0.02762213721871376"
"6878","-0.023743128404021263","-0.023743128404021263","-0.023743128404021263"
"6902","-0.023631826043128967","-0.023631826043128967","-0.023631826043128967"
"6926","-0.02433330938220024","-0.02433330938220024","-0.02433330938220024"
"6950","-0.02767721191048622","-0.02767721191048622","-0.02767721191048622"
