"Step","obs_best_seed0/11-29_18-39 - train/stats.tracking_error","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MIN","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MAX"
"4378","-0.016815630719065666","-0.016815630719065666","-0.016815630719065666"
"4402","-0.015868045389652252","-0.015868045389652252","-0.015868045389652252"
"4426","-0.015483797527849674","-0.015483797527849674","-0.015483797527849674"
"4450","-0.015170220285654068","-0.015170220285654068","-0.015170220285654068"
"4474","-0.014946487732231617","-0.014946487732231617","-0.014946487732231617"
"4498","-0.014186213724315166","-0.014186213724315166","-0.014186213724315166"
"4522","-0.014378364197909832","-0.014378364197909832","-0.014378364197909832"
"4546","-0.014329541474580765","-0.014329541474580765","-0.014329541474580765"
"4570","-0.014046939089894295","-0.014046939089894295","-0.014046939089894295"
"4594","-0.013723475858569145","-0.013723475858569145","-0.013723475858569145"
"4618","-0.013413653708994389","-0.013413653708994389","-0.013413653708994389"
"4642","-0.013514893129467964","-0.013514893129467964","-0.013514893129467964"
"4666","-0.013175103813409805","-0.013175103813409805","-0.013175103813409805"
"4690","-0.013181343674659729","-0.013181343674659729","-0.013181343674659729"
"4714","-0.013102466240525246","-0.013102466240525246","-0.013102466240525246"
"4738","-0.01303239818662405","-0.01303239818662405","-0.01303239818662405"
"4762","-0.013217196799814701","-0.013217196799814701","-0.013217196799814701"
"4786","-0.012980896979570389","-0.012980896979570389","-0.012980896979570389"
"4810","-0.012922260910272598","-0.012922260910272598","-0.012922260910272598"
"4834","-0.012948054820299149","-0.012948054820299149","-0.012948054820299149"
"4858","-0.012670890428125858","-0.012670890428125858","-0.012670890428125858"
"4882","-0.013259957544505596","-0.013259957544505596","-0.013259957544505596"
"4906","-0.01979711279273033","-0.01979711279273033","-0.01979711279273033"
"4930","-0.017799731343984604","-0.017799731343984604","-0.017799731343984604"
"4954","-0.029698476195335388","-0.029698476195335388","-0.029698476195335388"
"4975","-0.08258038759231567","-0.08258038759231567","-0.08258038759231567"
"4993","-0.13380219042301178","-0.13380219042301178","-0.13380219042301178"
"5008","-0.15763255953788757","-0.15763255953788757","-0.15763255953788757"
"5024","-0.16505667567253113","-0.16505667567253113","-0.16505667567253113"
"5041","-0.1567533314228058","-0.1567533314228058","-0.1567533314228058"
"5056","-0.1656971424818039","-0.1656971424818039","-0.1656971424818039"
"5072","-0.16074098646640778","-0.16074098646640778","-0.16074098646640778"
"5089","-0.16839727759361267","-0.16839727759361267","-0.16839727759361267"
"5105","-0.15932457149028778","-0.15932457149028778","-0.15932457149028778"
"5121","-0.15799571573734283","-0.15799571573734283","-0.15799571573734283"
"5139","-0.14454369246959686","-0.14454369246959686","-0.14454369246959686"
"5156","-0.15950708091259003","-0.15950708091259003","-0.15950708091259003"
"5172","-0.1547606885433197","-0.1547606885433197","-0.1547606885433197"
"5189","-0.14886516332626343","-0.14886516332626343","-0.14886516332626343"
