"Step","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MIN","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MAX"
"7073","-0.15771961212158203","-0.15771961212158203","-0.15771961212158203"
"7097","-0.15560825169086456","-0.15560825169086456","-0.15560825169086456"
"7121","-0.15528342127799988","-0.15528342127799988","-0.15528342127799988"
"7145","-0.15626345574855804","-0.15626345574855804","-0.15626345574855804"
"7169","-0.15303441882133484","-0.15303441882133484","-0.15303441882133484"
"7193","-0.150684654712677","-0.150684654712677","-0.150684654712677"
"7217","-0.14862270653247833","-0.14862270653247833","-0.14862270653247833"
"7241","-0.14783386886119843","-0.14783386886119843","-0.14783386886119843"
"7265","-0.14991921186447144","-0.14991921186447144","-0.14991921186447144"
"7289","-0.14972129464149475","-0.14972129464149475","-0.14972129464149475"
"7313","-0.15219245851039886","-0.15219245851039886","-0.15219245851039886"
"7337","-0.15031380951404572","-0.15031380951404572","-0.15031380951404572"
"7361","-0.15054750442504883","-0.15054750442504883","-0.15054750442504883"
"7385","-0.14758829772472382","-0.14758829772472382","-0.14758829772472382"
"7409","-0.1481046974658966","-0.1481046974658966","-0.1481046974658966"
"7433","-0.14541754126548767","-0.14541754126548767","-0.14541754126548767"
"7457","-0.1449185162782669","-0.1449185162782669","-0.1449185162782669"
"7481","-0.14369839429855347","-0.14369839429855347","-0.14369839429855347"
"7505","-0.14307884871959686","-0.14307884871959686","-0.14307884871959686"
"7529","-0.14390265941619873","-0.14390265941619873","-0.14390265941619873"
"7553","-0.1420263648033142","-0.1420263648033142","-0.1420263648033142"
"7577","-0.14299893379211426","-0.14299893379211426","-0.14299893379211426"
"7601","-0.14343789219856262","-0.14343789219856262","-0.14343789219856262"
"7625","-0.14459063112735748","-0.14459063112735748","-0.14459063112735748"
"7649","-0.14270786941051483","-0.14270786941051483","-0.14270786941051483"
"7673","-0.14414569735527039","-0.14414569735527039","-0.14414569735527039"
"7697","-0.14255176484584808","-0.14255176484584808","-0.14255176484584808"
"7721","-0.14055310189723969","-0.14055310189723969","-0.14055310189723969"
"7745","-0.1405857801437378","-0.1405857801437378","-0.1405857801437378"
"7769","-0.14163881540298462","-0.14163881540298462","-0.14163881540298462"
"7793","-0.13977165520191193","-0.13977165520191193","-0.13977165520191193"
"7817","-0.14260569214820862","-0.14260569214820862","-0.14260569214820862"
"7841","-0.14269110560417175","-0.14269110560417175","-0.14269110560417175"
"7865","-0.1417163610458374","-0.1417163610458374","-0.1417163610458374"
"7889","-0.13877010345458984","-0.13877010345458984","-0.13877010345458984"
"7913","-0.1393185406923294","-0.1393185406923294","-0.1393185406923294"
"7937","-0.13750800490379333","-0.13750800490379333","-0.13750800490379333"
"7961","-0.13877151906490326","-0.13877151906490326","-0.13877151906490326"
"7985","-0.13710160553455353","-0.13710160553455353","-0.13710160553455353"
"8009","-0.1371355950832367","-0.1371355950832367","-0.1371355950832367"
"8033","-0.13767068088054657","-0.13767068088054657","-0.13767068088054657"
"8057","-0.1371675431728363","-0.1371675431728363","-0.1371675431728363"
"8081","-0.13673552870750427","-0.13673552870750427","-0.13673552870750427"
"8105","-0.1323857456445694","-0.1323857456445694","-0.1323857456445694"
"8129","-0.13483189046382904","-0.13483189046382904","-0.13483189046382904"
"8153","-0.13657605648040771","-0.13657605648040771","-0.13657605648040771"
"8177","-0.13496309518814087","-0.13496309518814087","-0.13496309518814087"
"8201","-0.13339835405349731","-0.13339835405349731","-0.13339835405349731"
"8225","-0.13317787647247314","-0.13317787647247314","-0.13317787647247314"
"8249","-0.13343320786952972","-0.13343320786952972","-0.13343320786952972"
"8273","-0.13111141324043274","-0.13111141324043274","-0.13111141324043274"
"8297","-0.13072888553142548","-0.13072888553142548","-0.13072888553142548"
"8321","-0.1305498480796814","-0.1305498480796814","-0.1305498480796814"
"8345","-0.13254889845848083","-0.13254889845848083","-0.13254889845848083"
